book_id,rating,number_of_likes
33413919,4,56
15792218,5,14
11388053,0,44
35534215,1,56
13554459,4,0
30091766,2,94
160875,5,10
11929846,3,7
22675858,0,33
17851860,5,6
1926839,0,0
11927282,2,19
25103760,0,18
8437379,3,3
35481822,4,9
15802385,3,0
45245,3,85
30163661,1,6
22458146,2,6
39983507,2,84
12031532,2,25
7826101,1,5
40696220,0,9
25813666,4,18
13550926,3,82
16059376,0,71
103871,4,100
647492,3,42
18545084,2,3
1188081,2,3
10833756,3,10
11339920,5,20
43430429,1,58
8722,5,41
232459,4,76
13120860,1,35
15723916,4,61
8259397,4,48
11334430,0,3
400812,3,8
20482734,2,13
27068575,1,78
24504079,1,76
11942639,4,13
7303068,3,16
9171404,3,13
52101,5,14
25725835,2,23
17840796,0,92
7801229,2,66
17727309,1,68
843550,0,1
23446017,3,53
6686092,4,62
11765175,5,32
31178738,1,7
27796312,3,71
578190,0,9
570736,1,11
682911,4,6
18643872,1,96
7263429,3,90
19207601,1,8
28684363,4,93
1363577,2,26
4541172,4,91
9251140,4,94
35282472,0,16
401528,5,8
16130304,2,53
34321836,5,1
22440548,5,82
264950,3,13
65962,2,45
15749143,3,10
98477,3,19
25943007,1,11
18952405,3,89
23465642,0,4
21851882,1,53
16162561,5,23
845977,5,60
621460,1,12
42519249,4,42
104949,5,34
19192335,3,58
38619,0,24
9195527,1,84
32841039,4,9
24699867,2,53
35118608,0,17
18221549,1,18
76740,1,74
22011010,3,26
35661088,5,11
18008076,2,18
2634570,2,5
406425,0,24
15832300,0,8
6257500,0,10
17406217,0,18
18500233,0,1
36794521,0,30
103111,2,49
12159923,2,2
19286535,2,54
263731,0,3
17290850,4,63
16065564,4,48
17925554,4,5
40018772,1,0
11430898,2,24
21777537,3,56
5999242,4,13
15776554,3,10
147014,3,4
34851664,3,12
7507951,4,2
13496312,3,20
25669067,3,84
25663807,5,12
18209507,3,18
17456328,0,12
772739,3,68
25720433,5,91
13611440,5,2
22749994,3,18
66317,4,5
30332253,0,72
22537367,4,6
22322922,1,8
26836186,5,75
23550747,1,10
26026041,4,10
23002593,3,27
18679696,2,17
24673969,3,2
43945,0,5
20492283,4,14
32628,2,6
617510,4,38
27840706,2,56
1054231,2,47
6381911,0,6
13555706,4,54
23433671,5,14
877614,4,36
17975812,0,0
10662,4,48
595397,3,4
30312700,0,20
10464963,1,40
